keys,en
PAD_START,"Start"
PAD_SELECT,"Select"
PAD_ARROW_UP,"Arrow Up"
PAD_ARROW_LEFT,"Arrow Left"
PAD_ARROW_DOWN,"Arrow Down"
PAD_ARROW_RIGHT,"Arrow Right"
PAD_LSTICK_UP,"L-Stick Up"
PAD_LSTICK_LEFT,"L-Stick Left"
PAD_LSTICK_DOWN,"L-Stick Down"
PAD_LSTICK_RIGHT,"L-Stick Right"
PAD_RSTICK_UP,"R-Stick Up"
PAD_RSTICK_LEFT,"R-Stick Left"
PAD_RSTICK_DOWN,"R-Stick Down"
PAD_RSTICK_RIGHT,"R-Stick Right"
PAD_CROSS_DESC,"Menu: Confirm | Game: Action | Inventory: Use item"
PAD_CIRCLE_DESC,"Menu: Back | Game: Joke dialogue | Inventory: Inspect item"
PAD_TRIANGLE_DESC,"Menu: Chat | Game: Map | Inventory: none"
PAD_SQUARE_DESC,"Menu: none | Game: Hold to run | Inventory: Close inventory"
PAD_L1_DESC,"Inventory: Previous tab"
PAD_L2_DESC,"The most useless button in the game"
PAD_R1_DESC,"Game: Aim weapon | Inventory: Next tab"
PAD_R2_DESC,"Game: Aim weapon"
PAD_START_DESC,"Menu: Options | Game: Open inventory | Inventory: Close inventory"
PAD_SELECT_DESC,"Game: Open options | Inventory: Close options"
PAD_DPAD_DESC,"Menu: Navigate | Game: Tank controls (turn and move) | Inventory: Navigate"
PAD_STICK_DESC,"Menu: Navigate | Game: Free movement | Inventory: Navigate"
PAD_L3_DESC,"Game: Special skill"
PAD_RSTICK_UP_DESC,"Game: ""Go"" dialogue"
PAD_RSTICK_LEFT_DESC,"Game: ""Help"" dialogue"
PAD_RSTICK_DOWN_DESC,"Game: ""Come"" dialogue"
PAD_RSTICK_RIGHT_DESC,"Game: ""Thanks"" dialogue"
PAD_R3_DESC,"Game: ""Wait"" dialogue"
SETTINGS_RA_TITLE,"RetroAchievements settings"
SETTINGS_RA_CONNECT_LABEL,"Connect your RA account"
SETTINGS_RA_CONNECT_HINT,"Link your RetroAchievements account to earn achievements while you play."
SETTINGS_RA_NICKNAME,"Nickname"
SETTINGS_RA_NICKNAME_HINT,"Your RetroAchievements nickname. Log out and log in again to refresh it."
SETTINGS_RA_NICKNAME_PLACEHOLDER,"your nickname"
SETTINGS_RA_HARDMODE,"Enable Hard Mode"
SETTINGS_RA_HARDMODE_HINT,"Play in hardcore mode. Save states and cheats stay disabled."
RA_TITLE,"RetroAchievements"
RA_CONNECT,"CONNECT"
RA_DISCONNECT,"DISCONNECT"
RA_CHECKING,"CHECKING..."
RA_DISCONNECT_CONFIRM,"Disconnect your RetroAchievements account?\nYou will stop earning achievements."
RA_LOGIN_FAILED,"Login failed. Check your credentials."
RA_CONFIG_WRITE_FAILED,"Could not write the emulator config."
POPUP_RA_TITLE,"Connect RA account"
SETTINGS_ADV_GFX_TITLE,"Advanced graphics settings"
GFX_INTERNAL_RES,"Internal Resolution"
GFX_TEXTURE_FILTER,"Texture Filtering"
GFX_FMV_ASPECT,"FMV Aspect Ratio Override"
GFX_DEINTERLACING,"Deinterlacing"
GFX_BILINEAR,"Bilinear Filtering"
GFX_TRILINEAR,"Trilinear Filtering"
GFX_ANISOTROPIC,"Anisotropic Filtering"
GFX_DITHERING,"Dithering"
GFX_RES_1X,"Native (PS2) (Default)"
GFX_RES_2X,"2x Native (~720px/HD)"
GFX_RES_3X,"3x Native (~1080px/FHD)"
GFX_RES_4X,"4x Native (~1440px/QHD)"
GFX_RES_5X,"5x Native (~1800px/QHD+)"
GFX_RES_6X,"6x Native (~2160px/4K UHD)"
GFX_RES_7X,"7x Native (~2520px)"
GFX_RES_8X,"8x Native (~2880px/5K UHD)"
